14866;13
14865;23
14864;15
14863;14
14862;36
14861;6
14860;24
14859;24
14858;24
14857;15
14856;17
14855;12
14854;54
14853;36
14852;19
14851;36
14850;32
14849;46
14848;26
14847;19
14846;8
14845;15
14844;19
14843;26
14842;16
14841;24
14840;50
14839;18
14838;22
14837;26
14836;21
14835;29
14834;19
14833;8
14832;10
14831;9
14830;67
14829;14
14828;31
14827;20
14826;23
14825;22
14824;19
14823;34
14822;39
14821;23
14820;23
14819;16
14818;15
14817;5
14816;27
14815;23
14814;21
14813;67
14812;21
14811;5
14810;13
14809;7
14808;10
14807;15
14806;25
14805;40
14804;40
14803;18
14802;14
14801;18
14800;19
14799;24
14798;8
14797;47
14796;9
14795;22
14794;25
14793;8
14792;5
14791;7
14790;12
14789;13
14788;17
14787;41
14786;52
14785;9
14784;22
14783;8
14782;45
14781;7
14780;15
14779;37
14778;44
14777;7
14776;12
14775;5
14774;20
14773;15
14772;27
14771;16
14770;34
14769;13
14768;30
14767;23
14766;10
14765;4
14764;19
14763;27
14762;32
14761;32
14760;26
14759;22
14758;20
14757;7
14756;23
14755;15
14754;15
14753;11
14752;20
14751;3
14750;54
14749;15
14748;21
14747;25
14746;19
14745;10
14744;34
14743;16
14742;13
14741;8
14740;64
14739;28
14738;24
14737;8
14736;7
14735;19
14734;48
14733;15
14732;15
14731;7
14730;5
14729;31
14728;40
14727;65
14726;20
14725;9
14724;25
14723;18
14722;19
14721;14
14720;19
14719;28
14718;16
14717;15
14716;21
14715;12
14714;13
14713;8
14712;31
14711;14
14710;26
14709;48
14708;25
14707;24
14706;10
14705;30
14704;16
14703;21
14702;8
14701;18
14700;10
14699;11
14698;35
14697;22
14696;23
14695;5
14694;10
14693;5
14692;23
14691;39
14690;31
14689;8
14688;8
14687;8
14686;11
14685;26
14684;23
14683;28
14682;25
14681;15
14680;10
14679;16
14678;34
14677;15
14676;60
14675;20
14674;48
14673;33
14672;11
14671;7
14670;58
14669;40
14668;19
14667;14
14666;64
14665;20
14664;39
14663;8
14662;18
14661;33
14660;15
14659;16
14658;38
14657;19
14656;46
14655;41
14654;9
14653;13
14652;3
14651;12
14650;32
14649;14
14648;11
14647;15
14646;48
14645;20
14644;23
14643;7
14642;24
14641;24
14640;42
14639;28
14638;36
14637;17
14636;50
14635;13
14634;26
14633;27
14632;32
14631;30
14630;26
14629;13
14628;31
14627;38
14626;84
14625;35
14624;6
14623;8
14622;12
14621;14
14620;18
14619;41
14618;59
14617;7
14616;6
14615;50
14614;14
14613;47
14612;13
14611;24
14610;27
14609;26
14608;10
14607;48
14606;9
14605;72
14604;11
14603;12
14602;63
14601;33
14600;11
14599;41
14598;37
14597;27
14596;50
14595;8
14594;6
14593;20
14592;32
14591;23
14590;76
14589;31
14588;14
14587;10
14586;78
14585;33
14584;13
14583;39
14582;12
14581;17
14580;51
14579;28
14578;53
14577;50
14576;62
14575;20
14574;45
14573;15
14572;13
14571;43
14570;29
14569;22
14568;48
14567;23
14566;10
14565;10
14564;47
14563;10
14562;28
14561;46
14560;35
14559;32
14558;63
14557;39
14556;13
14555;17
14554;24
14553;8
14552;12
14551;57
14550;29
14549;40
14548;54
14547;15
14546;19
14545;76
14544;50
14543;24
14542;70
14541;5
14540;29
14539;11
14538;19
14537;41
14536;44
14535;24
14534;14
14533;31
14532;45
14531;19
14530;8
14529;14
14528;56
14527;46
14526;18
14525;19
14524;11
14523;11
14522;5
14521;31
14520;31
14519;16
14518;36
14517;20
14516;32
14515;13
14514;24
14513;10
14512;17
14511;27
14510;47
14509;40
14508;9
14507;41
14506;17
14505;14
14504;17
14503;18
14502;25
14501;43
14500;62
14499;48
14498;19
14497;52
14496;10
14495;34
14494;18
14493;16
14492;18
14491;16
14490;34
14489;4
14488;23
14487;31
14486;23
14485;58
14484;19
14483;24
14482;21
14481;31
14480;28
14479;42
14478;6
14477;18
14476;6
14475;6
14474;10
14473;59
14472;12
14471;35
14470;35
14469;32
14468;20
14467;12
14466;35
14465;19
14464;18
14463;67
14462;41
14461;45
14460;27
14459;14
14458;20
14457;4
14456;28
14455;87
14454;43
14453;37
14452;6
14451;55
14450;41
14449;42
14448;27
14447;16
14446;24
14445;5
14444;55
14443;13
14442;98
14441;56
14440;19
14439;41
14438;10
14437;23
14436;20
14435;12
14434;54
14433;27
14432;21
14431;27
14430;28
14429;13
14428;38
14427;13
14426;9
14425;15
14424;79
14423;19
14422;26
14421;22
14420;16
14419;18
14418;18
14417;19
14416;22
14415;40
14414;20
14413;29
14412;18
14411;30
14410;15
14409;18
14408;14
14407;27
14406;33
14405;9
14404;48
14403;31
14402;32
14401;39
14400;27
14399;9
14398;12
14397;12
14396;18
14395;31
14394;70
14393;9
14392;26
14391;36
14390;29
14389;41
14388;48
14387;23
14386;35
14385;14
14384;20
14383;27
14382;66
14381;20
14380;31
14379;26
14378;19
14377;12
14376;34
14375;11
14374;20
14373;38
14372;49
14371;36
14370;34
14369;37
14368;19
14367;51
14366;12
14365;13
14364;15
14363;28
14362;34
14361;43
14360;43
14359;8
14358;10
14357;12
14356;55
14355;34
14354;28
14353;35
14352;39
14351;39
14350;24
14349;14
